accession_id,obs_unit_id,CL,DTF1,DTF2,DTF3,Diameter,Length,RBN,RL
8244,21797,13.0,46.75,52.5,58.5,17.66666667,45.33333333,5.0,43.5
8246,21798,12.33333333,65.0,70.0,76.5,15.0,28.33333333,8.333333333,55.75
8247,21799,18.0,76.5,80.75,94.66666667,17.5,41.5,0.0,63.0
8258,21800,,,,,16.0,48.0,5.0,
8259,21801,12.0,55.5,59.5,65.5,18.5,50.0,7.0,41.5
8283,21802,11.0,76.66666667,81.0,82.66666667,20.0,44.0,0.0,48.33333333
8284,21803,17.0,60.5,64.75,76.0,15.0,39.5,7.333333333,49.25
8285,21804,6.0,42.0,46.66666667,51.66666667,14.0,39.66666667,3.0,32.33333333
8290,21805,8.0,31.5,39.0,44.25,12.0,40.0,4.5,22.25
8297,21806,12.25,71.0,75.25,79.0,14.0,42.0,8.0,60.0
8306,21807,13.66666667,83.66666667,88.0,95.0,20.0,45.0,3.0,52.66666667
8307,21808,12.25,48.0,52.5,64.25,17.0,41.0,5.0,34.25
8311,21809,10.25,48.0,52.25,59.25,16.66666667,43.33333333,4.333333333,42.0
8312,21810,6.75,42.75,48.0,52.0,14.66666667,43.33333333,4.666666667,26.5
8326,21811,10.75,49.5,55.5,58.0,14.5,28.0,7.5,49.25
8334,21812,6.25,43.0,51.25,54.0,18.0,33.0,0.0,27.5
8335,21813,18.75,80.5,85.0,92.25,16.0,37.33333333,2.5,73.0
8337,21814,14.33333333,62.0,66.75,72.5,19.5,52.0,6.0,52.25
8343,21815,11.5,50.25,55.0,59.75,9.0,50.33333333,2.0,44.5
8351,21816,10.5,89.25,96.5,97.5,17.5,13.5,11.0,67.25
8354,21817,8.666666667,47.5,53.75,58.75,20.0,34.0,,41.5
8357,21818,11.0,46.0,49.0,55.5,14.5,43.0,1.5,40.5
8365,21819,6.5,28.5,35.25,39.5,12.0,52.0,5.0,20.5
8366,21820,6.75,33.0,39.25,62.75,21.0,51.0,4.0,18.75
8386,21821,7.75,40.5,44.5,49.0,15.0,41.0,0.0,33.5
8387,21822,8.333333333,40.66666667,44.66666667,48.33333333,14.0,38.0,4.0,33.33333333
8419,21823,9.25,43.5,49.0,58.75,14.5,36.66666667,5.0,37.5
8420,21824,12.0,36.5,40.75,47.5,19.5,54.5,10.5,25.25
8422,21825,23.5,96.0,101.0,116.25,13.0,43.33333333,5.0,61.0
8424,21826,9.0,69.75,74.75,80.0,15.0,30.0,3.666666667,40.75
8426,21827,3.75,29.75,35.75,40.25,8.0,40.5,2.0,13.75
9057,21828,12.5,56.75,61.25,67.5,14.0,51.0,7.0,36.0
9058,21829,12.0,121.25,129.3333333,123.0,14.33333333,53.0,8.0,
9067,21830,12.0,106.6666667,111.6666667,130.0,15.0,42.0,2.0,
9070,21831,11.0,79.25,83.75,88.5,19.0,28.33333333,2.5,49.33333333
9075,21832,8.25,90.25,95.75,98.25,12.5,13.0,2.5,65.0
9078,21833,10.66666667,95.75,101.25,104.25,10.0,33.0,4.0,63.25
9095,21834,11.5,105.0,109.3333333,113.3333333,15.0,43.0,2.0,64.33333333
9102,21835,11.25,67.25,72.25,80.75,14.0,29.0,0.0,59.0
9104,21836,8.75,47.75,51.0,60.0,,44.0,5.0,36.75
9105,21837,11.5,62.75,67.25,78.75,15.5,42.5,1.0,40.0
9106,21838,11.0,75.75,81.0,87.5,14.0,35.0,2.0,39.5
9111,21839,9.5,77.25,82.0,89.25,8.0,47.33333333,5.0,57.5
9113,21840,7.333333333,61.25,69.25,70.25,8.5,34.66666667,4.666666667,45.0
9114,21841,10.5,89.5,93.0,100.5,8.0,27.0,7.0,65.0
9115,21842,13.75,72.5,76.75,71.75,13.0,37.0,,58.0
9128,21843,7.0,51.66666667,57.0,61.0,13.0,38.0,0.0,36.33333333
9131,21844,7.0,54.0,57.25,63.5,8.0,26.0,0.5,34.25
9133,21845,6.75,57.25,61.25,68.0,14.5,42.0,1.5,40.25
9134,21846,7.666666667,52.0,57.66666667,64.5,15.33333333,47.5,3.0,33.66666667
9298,21847,7.0,34.75,41.75,45.5,14.5,50.0,5.5,26.5
9312,21848,10.0,47.5,51.0,57.5,15.5,48.0,3.0,34.25
9314,21849,8.666666667,51.5,56.75,60.0,16.0,45.66666667,1.5,42.5
9321,21850,,122.3333333,128.3333333,140.0,14.0,40.5,13.0,
9332,21851,,115.0,121.0,129.0,17.0,47.0,,
9336,21852,5.75,57.5,63.75,66.75,17.0,38.0,0.0,48.5
9339,21853,10.33333333,104.3333333,105.5,116.5,,28.0,0.0,
9343,21854,11.75,79.75,83.75,88.0,13.0,25.0,2.0,69.25
9363,21855,,,,,14.5,37.5,2.0,
9381,21856,,137.0,143.0,,18.0,42.0,0.0,
9382,21857,11.0,103.0,109.0,110.6666667,18.33333333,41.0,4.0,60.0
9383,21858,13.66666667,92.0,97.66666667,103.0,14.0,39.5,0.0,74.66666667
9386,21859,8.0,96.25,101.25,107.75,15.0,53.0,5.0,65.5
9391,21860,9.5,55.25,58.0,64.5,19.0,51.0,6.0,44.25
9392,21861,9.25,46.0,51.75,59.0,18.0,41.0,6.0,39.75
